Year,Value,Units,Series
2010,20.2,PT,NV_IND_MANF
2011,20.6,PT,NV_IND_MANF
2012,19.9,PT,NV_IND_MANF
2013,19.8,PT,NV_IND_MANF
2014,19.9,PT,NV_IND_MANF
2015,20.1,PT,NV_IND_MANF
2016,20.3,PT,NV_IND_MANF
2017,20.3,PT,NV_IND_MANF
2018,20.0,PT,NV_IND_MANF
2019,19.8,PT,NV_IND_MANF
2020,19.0,PT,NV_IND_MANF
2021,19.5,PT,NV_IND_MANF
2022,19.3,PT,NV_IND_MANF
2023,18.9,PT,NV_IND_MANF
2010,7033.8,EUR_PER_CAPITA,NV_IND_MANFPC
2011,7190.6,EUR_PER_CAPITA,NV_IND_MANFPC
2012,6772.9,EUR_PER_CAPITA,NV_IND_MANFPC
2013,6623.1,EUR_PER_CAPITA,NV_IND_MANFPC
2014,6804.9,EUR_PER_CAPITA,NV_IND_MANFPC
2015,7069.6,EUR_PER_CAPITA,NV_IND_MANFPC
2016,7372.0,EUR_PER_CAPITA,NV_IND_MANFPC
2017,7533.8,EUR_PER_CAPITA,NV_IND_MANFPC
2018,7637.4,EUR_PER_CAPITA,NV_IND_MANFPC
2019,7696.3,EUR_PER_CAPITA,NV_IND_MANFPC
2020,6697.6,EUR_PER_CAPITA,NV_IND_MANFPC
2021,7325.0,EUR_PER_CAPITA,NV_IND_MANFPC
2022,7654.4,EUR_PER_CAPITA,NV_IND_MANFPC
2023,7633.7,EUR_PER_CAPITA,NV_IND_MANFPC
