Year,Territorio,Units,Value
2022,,PT,33.3
2012,,PT,33.4
2021,,PT,32.4
2016,,PT,36.3
2017,,PT,37.6
2013,,PT,41.3
2014,,PT,34.5
2011,,PT,28.3
2023,,PT,32.2
2020,,PT,33.8
2010,,PT,29.5
2018,,PT,39.3
2019,,PT,41.3
2024,,PT,32.4
2015,,PT,35.0
2013,ES211,PT,30.2
2010,ES211,PT,20.8
2017,ES211,PT,25.5
2014,ES211,PT,24.1
2018,ES211,PT,29.6
2020,ES211,PT,28.8
2021,ES211,PT,29.7
2011,ES211,PT,20.8
2024,ES211,PT,29.2
2015,ES211,PT,24.4
2022,ES211,PT,30.0
2023,ES211,PT,28.1
2019,ES211,PT,27.0
2012,ES211,PT,21.0
2016,ES211,PT,26.9
2011,ES213,PT,28.9
2013,ES213,PT,43.1
2014,ES213,PT,39.1
2015,ES213,PT,37.2
2017,ES213,PT,44.7
2018,ES213,PT,44.6
2019,ES213,PT,46.1
2021,ES213,PT,30.6
2022,ES213,PT,31.9
2023,ES213,PT,30.2
2024,ES213,PT,30.2
2010,ES213,PT,30.1
2020,ES213,PT,33.0
2016,ES213,PT,40.3
2012,ES213,PT,42.7
2024,ES212,PT,37.2
2010,ES212,PT,32.0
2011,ES212,PT,30.1
2012,ES212,PT,23.7
2013,ES212,PT,42.6
2014,ES212,PT,31.4
2015,ES212,PT,35.8
2016,ES212,PT,35.0
2017,ES212,PT,32.1
2018,ES212,PT,35.1
2019,ES212,PT,39.1
2020,ES212,PT,37.6
2021,ES212,PT,36.6
2022,ES212,PT,37.3
2023,ES212,PT,36.8
