Year,Gasto,Units,Value
2017,SH_XPD_EARN25,PT,1.4
2018,SH_XPD_EARN25,PT,1.4
2019,SH_XPD_EARN25,PT,1.7
2012,SH_XPD_EARN25,PT,1.3
2020,SH_XPD_EARN25,PT,0.9
2014,SH_XPD_EARN25,PT,1.2
2016,SH_XPD_EARN25,PT,1.2
2022,SH_XPD_EARN25,PT,1.7
2015,SH_XPD_EARN25,PT,1.6
2021,SH_XPD_EARN25,PT,1.3
2010,SH_XPD_EARN25,PT,1.2
2013,SH_XPD_EARN25,PT,1.3
2011,SH_XPD_EARN25,PT,1.6
2023,SH_XPD_EARN25,PT,1.4
2020,SH_XPD_EARN10,PT,7.6
2017,SH_XPD_EARN10,PT,6.6
2011,SH_XPD_EARN10,PT,5.5
2010,SH_XPD_EARN10,PT,5.1
2015,SH_XPD_EARN10,PT,6.8
2022,SH_XPD_EARN10,PT,7.6
2016,SH_XPD_EARN10,PT,7.0
2018,SH_XPD_EARN10,PT,7.0
2013,SH_XPD_EARN10,PT,6.1
2012,SH_XPD_EARN10,PT,5.4
2021,SH_XPD_EARN10,PT,7.2
2019,SH_XPD_EARN10,PT,8.2
2023,SH_XPD_EARN10,PT,8.3
2014,SH_XPD_EARN10,PT,5.5
