Year,Series,Units,Orden_Series,Value
2014,EU_INDQTHSNG_HUMID,PT,2000,11.8
2022,EU_INDQTHSNG_HUMID,PT,2000,12.4
2012,EU_INDQTHSNG_HUMID,PT,2000,8.8
2018,EU_INDQTHSNG_HUMID,PT,2000,14.2
2008,EU_INDQTHSNG_HUMID,PT,2000,7.7
2020,EU_INDQTHSNG_HUMID,PT,2000,10.5
2016,EU_INDQTHSNG_HUMID,PT,2000,12.3
2008,EU_INDQTHSNG_TOILET,PT,2010,0.4
2016,EU_INDQTHSNG_TOILET,PT,2010,0.0
2018,EU_INDQTHSNG_TOILET,PT,2010,0.0
2014,EU_INDQTHSNG_TOILET,PT,2010,0.0
2020,EU_INDQTHSNG_TOILET,PT,2010,0.0
2022,EU_INDQTHSNG_TOILET,PT,2010,0.0
2012,EU_INDQTHSNG_TOILET,PT,2010,0.0
2008,EU_INDQTHSNG_NOISE,PT,2030,11.0
2012,EU_INDQTHSNG_NOISE,PT,2030,13.9
2014,EU_INDQTHSNG_NOISE,PT,2030,8.5
2016,EU_INDQTHSNG_NOISE,PT,2030,9.2
2018,EU_INDQTHSNG_NOISE,PT,2030,9.2
2020,EU_INDQTHSNG_NOISE,PT,2030,8.9
2022,EU_INDQTHSNG_NOISE,PT,2030,8.0
2008,EU_INDQTHSNG_LIGHT,PT,2040,5.7
2014,EU_INDQTHSNG_LIGHT,PT,2040,3.3
2012,EU_INDQTHSNG_LIGHT,PT,2040,12.2
2016,EU_INDQTHSNG_LIGHT,PT,2040,5.4
2018,EU_INDQTHSNG_LIGHT,PT,2040,4.0
2020,EU_INDQTHSNG_LIGHT,PT,2040,3.3
2022,EU_INDQTHSNG_LIGHT,PT,2040,3.1
